profile,mode,size,tCompNsPerInt,tDecompNsPerInt,tGetNs,bitsPerInt,ratio,S0bits,Scbits,n0,n1,tStar_ms,T0_ms,Tc_ms,gainT
FIBRE_DOMESTIQUE,OVERFLOW_OVERLAP,1000000,2.923585,2.265295,16.341930,13.000000,0.406250,32000000,13000000,2667,1084,-0.008725,565.400000,234.988880,true
SATELLITE,WITHOUT_OVERLAP,1000,1.900000,1.540000,10.530000,16.000000,0.500000,32000,16000,3,2,-0.636560,451.280000,300.643440,true
SATELLITE,OVERLAP,1000,2.790000,1.525000,11.916500,12.000000,0.375000,32000,12000,3,1,-0.397843,451.280000,150.484315,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000,2.295000,2.490000,11.419000,8.000000,0.250000,32000,8000,3,1,-0.477608,451.280000,150.324785,true
SATELLITE,OVERFLOW_OVERLAP,1000,2.600000,2.345000,10.032000,8.000000,0.250000,32000,8000,3,1,-0.477528,451.280000,150.324945,true
SATELLITE,WITHOUT_OVERLAP,100000,1.767700,1.370950,10.119590,16.000000,0.500000,3200000,1600000,267,134,-0.478843,40178.000000,20164.313865,true
SATELLITE,OVERLAP,100000,1.778400,1.520850,12.013715,12.000000,0.375000,3200000,1200000,267,100,-0.477066,40178.000000,15048.329925,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,100000,2.367950,1.897150,11.082740,16.000000,0.500000,3200000,1600000,267,134,-0.477996,40178.000000,20164.426510,true
SATELLITE,OVERFLOW_OVERLAP,100000,2.737550,2.073800,13.581320,13.000000,0.406250,3200000,1300000,267,109,-0.477968,40178.000000,16402.481135,true
SATELLITE,WITHOUT_OVERLAP,1000000,1.889785,1.402430,13.588905,16.000000,0.500000,32000000,16000000,2667,1334,-0.477650,401330.000000,200743.292215,true
SATELLITE,OVERLAP,1000000,1.943700,1.482870,14.388780,12.000000,0.375000,32000000,12000000,2667,1000,-0.477848,401330.000000,150483.426570,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000000,2.888030,1.991395,14.108930,16.000000,0.500000,32000000,16000000,2667,1334,-0.476460,401330.000000,200744.879425,true
SATELLITE,OVERFLOW_OVERLAP,1000000,3.024795,2.304920,15.946520,13.000000,0.406250,32000000,13000000,2667,1084,-0.476734,401330.000000,163125.329715,true
SATELLITE,WITHOUT_OVERLAP,1000,1.645000,1.560000,10.333500,16.000000,0.500000,32000,16000,3,2,-0.636795,451.280000,300.643205,true
