profile,mode,size,tCompNsPerInt,tDecompNsPerInt,tGetNs,bitsPerInt,ratio,S0bits,Scbits,n0,n1,tStar_ms,T0_ms,Tc_ms,gainT
SATELLITE,WITHOUT_OVERLAP,1000,1.510000,1.400000,10.560000,4.000000,0.125000,32000,4000,3,1,-0.558545,451.280000,150.162910,true
SATELLITE,OVERLAP,1000,1.525000,1.395000,10.245000,4.000000,0.125000,32000,4000,3,1,-0.558540,451.280000,150.162920,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000,2.045000,2.085000,9.465500,5.344000,0.167000,32000,5344,3,1,-0.531055,451.280000,150.217890,true
SATELLITE,OVERFLOW_OVERLAP,1000,2.560000,2.320000,12.556500,5.024000,0.157000,32000,5024,3,1,-0.537080,451.280000,150.205840,true
SATELLITE,WITHOUT_OVERLAP,100000,1.439550,1.382250,10.136480,4.000000,0.125000,3200000,400000,267,34,-0.479476,40178.000000,5116.282180,true
SATELLITE,OVERLAP,100000,1.666250,1.048150,9.289115,4.000000,0.125000,3200000,400000,267,34,-0.479522,40178.000000,5116.271440,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,100000,2.444150,1.956300,10.425050,5.333440,0.166670,3200000,533344,267,45,-0.478496,40178.000000,6771.773805,true
SATELLITE,OVERFLOW_OVERLAP,100000,3.247200,2.685150,11.003460,5.000000,0.156250,3200000,500000,267,42,-0.477363,40178.000000,6320.593235,true
SATELLITE,WITHOUT_OVERLAP,1000000,1.465910,1.375005,11.140260,4.000000,0.125000,32000000,4000000,2667,334,-0.478851,401330.000000,50262.840915,true
SATELLITE,OVERLAP,1000000,1.720155,1.088725,10.728480,4.000000,0.125000,32000000,4000000,2667,334,-0.478865,401330.000000,50262.808880,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000000,2.460460,2.114085,11.331670,5.333344,0.166667,32000000,5333344,2667,445,-0.477989,401330.000000,66967.908305,true
SATELLITE,OVERFLOW_OVERLAP,1000000,3.138670,2.304955,11.786900,5.000000,0.156250,32000000,5000000,2667,417,-0.477581,401330.000000,62755.443625,true
SATELLITE,WITHOUT_OVERLAP,1000,1.525000,1.480000,11.315000,4.000000,0.125000,32000,4000,3,1,-0.558498,451.280000,150.163005,true
SATELLITE,OVERLAP,1000,1.630000,1.155000,8.924500,4.000000,0.125000,32000,4000,3,1,-0.558608,451.280000,150.162785,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000,2.155000,3.605000,11.472000,5.344000,0.167000,32000,5344,3,1,-0.530240,451.280000,150.219520,true
SATELLITE,OVERFLOW_OVERLAP,1000,2.955000,2.640000,13.760500,5.024000,0.157000,32000,5024,3,1,-0.536723,451.280000,150.206555,true
SATELLITE,WITHOUT_OVERLAP,100000,1.699000,1.338300,10.065825,4.000000,0.125000,3200000,400000,267,34,-0.479383,40178.000000,5116.303730,true
SATELLITE,OVERLAP,100000,1.707950,1.135200,9.378700,4.000000,0.125000,3200000,400000,267,34,-0.479466,40178.000000,5116.284315,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,100000,2.231500,1.952100,14.208415,5.333440,0.166670,3200000,533344,267,45,-0.478594,40178.000000,6771.752120,true
SATELLITE,OVERFLOW_OVERLAP,100000,3.098000,2.489800,10.693265,5.000000,0.156250,3200000,500000,267,42,-0.477517,40178.000000,6320.558780,true
SATELLITE,WITHOUT_OVERLAP,1000000,1.501030,1.317885,10.855275,4.000000,0.125000,32000000,4000000,2667,334,-0.478860,401330.000000,50262.818915,true
SATELLITE,OVERLAP,1000000,1.637830,1.144560,10.388635,4.000000,0.125000,32000000,4000000,2667,334,-0.478876,401330.000000,50262.782390,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000000,2.515510,2.036585,10.980445,5.333344,0.166667,32000000,5333344,2667,445,-0.477999,401330.000000,66967.885855,true
SATELLITE,OVERFLOW_OVERLAP,1000000,3.091255,2.199600,11.758285,5.000000,0.156250,32000000,5000000,2667,417,-0.477649,401330.000000,62755.290855,true
