profile,mode,size,tCompNsPerInt,tDecompNsPerInt,tGetNs,bitsPerInt,ratio,S0bits,Scbits,n0,n1,tStar_ms,T0_ms,Tc_ms,gainT
CAMPAGNE_4G,WITHOUT_OVERLAP,1000,1.490000,1.405000,10.333500,10.688000,0.334000,32000,10688,3,1,-2.129753,96.400000,32.140495,true
CAMPAGNE_4G,OVERLAP,1000,1.905000,1.545000,11.331500,10.016000,0.313000,32000,10016,3,1,-2.196675,96.400000,32.006650,true
CAMPAGNE_4G,OVERFLOW_WITHOUT_OVERLAP,1000,2.505000,2.070000,11.903500,16.000000,0.500000,32000,16000,3,2,-3.195425,96.400000,63.204575,true
CAMPAGNE_4G,OVERFLOW_OVERLAP,1000,2.815000,2.160000,12.004000,11.008000,0.344000,32000,11008,3,1,-2.096713,96.400000,32.206575,true
CAMPAGNE_4G,WITHOUT_OVERLAP,100000,1.669000,1.433550,10.638515,10.666880,0.333340,3200000,1066688,267,89,-2.395237,8650.000000,2883.647855,true
CAMPAGNE_4G,OVERLAP,100000,2.735550,1.771750,12.429530,10.000000,0.312500,3200000,1000000,267,84,-2.401909,8650.000000,2720.450730,true
CAMPAGNE_4G,OVERFLOW_WITHOUT_OVERLAP,100000,2.348050,2.104450,10.583705,16.000000,0.500000,3200000,1600000,267,134,-2.402667,8650.000000,4340.445250,true
CAMPAGNE_4G,OVERFLOW_OVERLAP,100000,2.891800,2.319300,12.790350,11.000000,0.343750,3200000,1100000,267,92,-2.397022,8650.000000,2980.521110,true
CAMPAGNE_4G,WITHOUT_OVERLAP,1000000,1.517795,1.305325,11.815935,10.666688,0.333334,32000000,10666688,2667,889,-2.398110,86410.000000,28806.160720,true
CAMPAGNE_4G,OVERLAP,1000000,1.902085,1.485795,13.435380,10.000000,0.312500,32000000,10000000,2667,834,-2.398588,86410.000000,27023.387880,true
CAMPAGNE_4G,OVERFLOW_WITHOUT_OVERLAP,1000000,2.741060,2.002600,14.271190,16.000000,0.500000,32000000,16000000,2667,1334,-2.397042,86410.000000,43224.743660,true
CAMPAGNE_4G,OVERFLOW_OVERLAP,1000000,3.129930,2.261415,15.855700,11.000000,0.343750,32000000,11000000,2667,917,-2.396919,86410.000000,29715.391345,true
FIBRE_BUREAU,WITHOUT_OVERLAP,1000,1.640000,1.555000,10.103500,10.688000,0.334000,32000,10688,3,1,-0.104963,3.320000,1.110075,true
FIBRE_BUREAU,OVERLAP,1000,1.705000,1.490000,13.195000,10.016000,0.313000,32000,10016,3,1,-0.108323,3.320000,1.103355,true
FIBRE_BUREAU,OVERFLOW_WITHOUT_OVERLAP,1000,2.135000,2.000000,9.359000,16.000000,0.500000,32000,16000,3,2,-0.155865,3.320000,2.164135,true
FIBRE_BUREAU,OVERFLOW_OVERLAP,1000,2.530000,2.330000,12.465000,11.008000,0.344000,32000,11008,3,1,-0.102530,3.320000,1.114940,true
FIBRE_BUREAU,WITHOUT_OVERLAP,100000,1.554950,1.381500,10.328725,10.666880,0.333340,3200000,1066688,267,89,-0.118199,299.000000,99.960525,true
FIBRE_BUREAU,OVERLAP,100000,1.972250,1.534750,12.158385,10.000000,0.312500,3200000,1000000,267,84,-0.118302,299.000000,94.350700,true
FIBRE_BUREAU,OVERFLOW_WITHOUT_OVERLAP,100000,2.482800,2.019650,10.689115,16.000000,0.500000,3200000,1600000,267,134,-0.116915,299.000000,150.450245,true
